台股代碼(名稱),交易類別,成交價(元),張數,手續費(張),證交稅(元),借券費(元),融資金額,收付金額,時間,市場情緒
00646.TW,現股買進,54.849998474121094,1,78.16,0,0,0,-54928.1584741211,2024-09-06,恐慌
00662.TW,現股買進,77.55000305175781,1,110.51,0,0,0,-77660.5130517578,2024-09-06,恐慌
00757.TW,現股買進,82.55000305175781,1,117.63,0,0,0,-82667.63305175782,2024-09-06,恐慌
00646.TW,現股買進,54.400001525878906,1,77.52,0,0,0,-54477.5215258789,2024-09-09,恐慌
00662.TW,現股買進,76.55000305175781,1,109.08,0,0,0,-76659.08305175781,2024-09-09,恐慌
00757.TW,現股買進,80.80000305175781,1,115.14,0,0,0,-80915.14305175781,2024-09-09,恐慌
00646.TW,現股買進,54.849998474121094,1,78.16,0,0,0,-54928.1584741211,2024-09-10,恐慌
00662.TW,現股買進,77.0999984741211,1,109.87,0,0,0,-77209.86847412109,2024-09-10,恐慌
00757.TW,現股買進,81.0999984741211,1,115.57,0,0,0,-81215.5684741211,2024-09-10,恐慌
00646.TW,現股買進,54.75,1,78.02,0,0,0,-54828.02,2024-09-11,恐慌
00662.TW,現股買進,77.19999694824219,1,110.01,0,0,0,-77310.00694824218,2024-09-11,恐慌
00757.TW,現股買進,81.80000305175781,1,116.57,0,0,0,-81916.57305175782,2024-09-11,恐慌
00646.TW,現股賣出,56.29999923706055,1,80.23,168.9,0,0,56050.86923706054,2024-09-18,貪婪
00662.TW,現股賣出,79.94999694824219,1,113.93,239.85,0,0,79596.21694824219,2024-09-18,貪婪
00757.TW,現股賣出,85.19999694824219,1,121.41,255.6,0,0,84822.98694824218,2024-09-18,貪婪
00646.TW,現股賣出,56.650001525878906,1,80.73,169.95,0,0,56399.321525878906,2024-09-19,貪婪
00662.TW,現股賣出,80.80000305175781,1,115.14,242.4,0,0,80442.46305175782,2024-09-19,貪婪
00757.TW,現股賣出,86.4000015258789,1,123.12,259.2,0,0,86017.68152587891,2024-09-19,貪婪
00646.TW,現股賣出,56.79999923706055,1,80.94,170.4,0,0,56548.65923706054,2024-09-20,貪婪
00662.TW,現股賣出,81.25,1,115.78,243.75,0,0,80890.47,2024-09-20,貪婪
00757.TW,現股賣出,87.4000015258789,1,124.55,262.2,0,0,87013.2515258789,2024-09-20,貪婪
00646.TW,現股賣出,57.150001525878906,1,81.44,171.45,0,0,56897.11152587891,2024-09-23,貪婪
00662.TW,現股賣出,81.94999694824219,1,116.78,245.85,0,0,81587.36694824218,2024-09-23,貪婪
00757.TW,現股賣出,88.25,1,125.76,264.75,0,0,87859.49,2024-09-23,貪婪
00646.TW,現股+融券賣出,58.5,2,166.72,351.0,117.0,0,116365.28,2024-10-14,極度貪婪
00662.TW,現股+融券賣出,83.94999694824219,2,239.26,503.7,167.89999389648438,0,166989.13390258787,2024-10-14,極度貪婪
00757.TW,現股+融券賣出,91.55000305175781,2,260.92,549.3,183.10000610351562,0,182106.6860974121,2024-10-14,極度貪婪
00646.TW,現股買進,57.099998474121094,1,81.37,0,0,0,-57181.3684741211,2024-11-04,恐慌
00662.TW,現股買進,82.4000015258789,1,117.42,0,0,0,-82517.4215258789,2024-11-04,恐慌
00757.TW,現股買進,89.94999694824219,1,128.18,0,0,0,-90078.17694824218,2024-11-04,恐慌
00646.TW,現股賣出,58.70000076293945,1,83.65,176.1,0,0,58440.25076293945,2024-11-06,貪婪
00662.TW,現股賣出,84.44999694824219,1,120.34,253.35,0,0,84076.30694824219,2024-11-06,貪婪
00757.TW,現股賣出,92.69999694824219,1,132.1,278.1,0,0,92289.79694824218,2024-11-06,貪婪
00646.TW,現股買進,61.599998474121094,1,87.78,0,0,0,-61687.77847412109,2024-12-18,恐慌
00662.TW,現股買進,92.1500015258789,1,131.31,0,0,0,-92281.3115258789,2024-12-18,恐慌
00757.TW,現股買進,106.8499984741211,1,152.26,0,0,0,-107002.25847412109,2024-12-18,恐慌
00646.TW,現股買進,60.099998474121094,2,171.28,0,0,0,-120371.27694824219,2024-12-19,極度恐慌
00662.TW,現股買進,89.30000305175781,2,254.51,0,0,0,-178854.51610351563,2024-12-19,極度恐慌
00757.TW,現股買進,103.1500015258789,2,293.98,0,0,0,-206593.98305175782,2024-12-19,極度恐慌
00646.TW,現股買進,59.79999923706055,1,85.21,0,0,0,-59885.209237060546,2024-12-20,恐慌
00662.TW,現股買進,88.30000305175781,1,125.83,0,0,0,-88425.83305175781,2024-12-20,恐慌
00757.TW,現股買進,102.5,1,146.06,0,0,0,-102646.06,2024-12-20,恐慌
00646.TW,現股買進,60.849998474121094,1,86.71,0,0,0,-60936.70847412109,2024-12-23,恐慌
00662.TW,現股買進,90.19999694824219,1,128.53,0,0,0,-90328.52694824219,2024-12-23,恐慌
00757.TW,現股買進,105.3499984741211,1,150.12,0,0,0,-105500.11847412109,2024-12-23,恐慌
00646.TW,現股買進,61.0,1,86.92,0,0,0,-61086.92,2024-12-24,恐慌
00662.TW,現股買進,90.5,1,128.96,0,0,0,-90628.96,2024-12-24,恐慌
00757.TW,現股買進,105.80000305175781,1,150.77,0,0,0,-105950.77305175782,2024-12-24,恐慌
00646.TW,現股買進,61.79999923706055,1,88.06,0,0,0,-61888.059237060545,2024-12-25,恐慌
00662.TW,現股買進,92.05000305175781,1,131.17,0,0,0,-92181.17305175781,2024-12-25,恐慌
00757.TW,現股買進,107.6500015258789,1,153.4,0,0,0,-107803.4015258789,2024-12-25,恐慌
00646.TW,現股買進,61.900001525878906,1,88.21,0,0,0,-61988.211525878905,2024-12-26,恐慌
00662.TW,現股買進,92.05000305175781,1,131.17,0,0,0,-92181.17305175781,2024-12-26,恐慌
00757.TW,現股買進,107.5999984741211,1,153.33,0,0,0,-107753.3284741211,2024-12-26,恐慌
00646.TW,現股買進,61.650001525878906,1,87.85,0,0,0,-61737.851525878905,2024-12-27,恐慌
00662.TW,現股買進,91.4000015258789,1,130.25,0,0,0,-91530.2515258789,2024-12-27,恐慌
00757.TW,現股買進,106.80000305175781,1,152.19,0,0,0,-106952.19305175781,2024-12-27,恐慌
00646.TW,現股買進,61.099998474121094,1,87.07,0,0,0,-61187.06847412109,2024-12-30,恐慌
00662.TW,現股買進,90.4000015258789,1,128.82,0,0,0,-90528.82152587891,2024-12-30,恐慌
